Year,CO2,NO,CH4,Temperature,ice_mass
2020.0,31798366363.09521,3124814513.1779785,8536440289.376801,0.8988940760313302,-25330.42773226252
2021.0,32166055173.87353,3152652222.3405075,8598049685.776459,0.9209398828544505,-28120.17022110332
2022.0,32535712020.353027,3180489931.503029,8659659082.176102,0.9515774330042794,-29204.014494742696
2023.0,32907336902.533203,3208327640.66555,8721268478.575745,0.9918043193595023,-32706.78115386777
2024.0,33280929820.41504,3236165349.828079,8782877874.975388,1.0136179392501676,-34253.27622520514
2025.0,33656490773.998047,3264003058.9906006,8844487271.37503,1.0500154944577436,-36468.291161525056
2026.0,34034019763.28174,3291840768.153122,8906096667.774673,1.0839939912151189,-39726.602841641485
2027.0,34413516788.26758,3319678477.315651,8967706064.174332,1.1095502402067157,-42402.97357042053
2028.0,34794981848.95361,3347516186.4781723,9029315460.573977,1.140680856568106,-43747.15107875186
2029.0,35178414945.34131,3375353895.6407013,9090924856.973618,1.1723822598866513,-46833.868523596386
2030.0,35563816077.430176,3403191604.8032227,9152534253.37326,1.2156506742008066,-48937.84448793434
