Year,ice_mass
2002,-21.32474699849316
2003,-1279.7941326164319
2004,-3051.89
2005,-2652.56
2006,-1466.8099999999997
2007,-3703.2599999999998
2008,-6949.170000000001
2009,-6667.040000000001
2010,-10004.98
2011,-11559.231514554904
2012,-12234.639879719878
2013,-14811.794809048786
2014,-18959.604959829347
2015,-20542.374138463492
2016,-22314.25066937506
2017,-21230.432216537585
2018,-26172.80744022411
2019,-27026.760000000002
2020,-30222.060000000005
2021,-31953.360000000004
