,year,extent,img_url
17,1996,7.58,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcm9LIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--22e0694d22c8056c62b9767db3dd890b4af1f821/seaice_1996_720x360.jpg?disposition=attachment
18,1997,6.69,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcnNLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f5525529b1d6cd3191c626c5cefee5bb36ce5aab/seaice_1997_720x360.jpg?disposition=attachment
19,1998,6.54,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcndLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1b86502c653279909765c6e616c7701a2de7241e/seaice_1998_720x360.jpg?disposition=attachment
20,1999,6.12,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjBLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b8ecd24a269325de24283eaf7fa957ea518430ba/seaice_1999_720x360.jpg?disposition=attachment
21,2000,6.25,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjRLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2afc0a7910cc8ff3e71e3e6b7031652fc14a77fb/seaice_2000_720x360.jpg?disposition=attachment
22,2001,6.73,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjhLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed27df0f5992f3da4017f01a2430673b16801d4c/seaice_2001_720x360.jpg?disposition=attachment
23,2002,5.83,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0FLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8f891ecd8abb9fa11e9df4ce024b468b7393f3b8/seaice_2002_720x360.jpg?disposition=attachment
24,2003,6.12,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0VLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fb2ce893bdd81c7e9626b002db714b5a8b687d37/seaice_2003_720x360.jpg?disposition=attachment
25,2004,5.98,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0lLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f69604bd0115d2d87e471db646de0c0ca08f18e8/seaice_2004_720x360.jpg?disposition=attachment
26,2005,5.5,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc01LIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e6c62c2a28883c5806a928efbcc441b1cd350013/seaice_2005_720x360.jpg?disposition=attachment
27,2006,5.86,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1FLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--82fc4a1720f755f55816c910f3bbedd55cfc1282/seaice_2006_720x360.jpg?disposition=attachment
28,2007,4.27,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1VLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--12ca3b4042759d23b1aae35e61a7f0b8a71e6c10/seaice_2007_720x360.jpg?disposition=attachment
29,2008,4.69,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1lLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--82e41bb57f0940c2917a882abd3b13a71fb4ea85/seaice_2008_720x360.jpg?disposition=attachment
30,2009,5.26,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2NLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f99664fdbd8354afb3c599d75374a936e70dd105/seaice_2009_720x360.jpg?disposition=attachment
31,2010,4.87,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2dLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5c1bb4166e6e8fb79ede97bf3225e2d0b391ad9b/seaice_2010_720x360.jpg?disposition=attachment
32,2011,4.56,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2tLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1fd13ace730ea571c5721a3b7d11c70f33d12003/seaice_2011_720x360.jpg?disposition=attachment
33,2012,3.57,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc29LIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--731eabbfdac5ed9902b1f841bc364a3398f80a11/seaice_2012_720x360.jpg?disposition=attachment
34,2013,5.21,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3NLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0c707081f92c5a69bfc5b4718a79ae7067af6e54/seaice_2013_720x360.jpg?disposition=attachment
35,2014,5.22,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4f13653c366dc7ef2e2ff23271eff9bff03b5a0e/seaice_2014_720x360.jpg?disposition=attachment
36,2015,4.62,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczBLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a06f2207d20fb4a7be30e05743e47d553f3d7694/seaice_2015_720x360.jpg?disposition=attachment
37,2016,4.53,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--02fb8760bffaf13a24da2d2b888795e152b347cf/seaice_2016_720x360.jpg?disposition=attachment
38,2017,4.82,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--79f2352e81eb730dc3458cf12cc730a0017ffcf8/seaice_2017_720x360.jpg?disposition=attachment
39,2018,4.79,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--55d774dd494b0465d33038c5b24f8163600fa433/seaice_2018_720x360.jpg?disposition=attachment
40,2019,4.36,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEVLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d08c68652044147c0dc13aa1884e618cf254b364/seaice_2019_720x360.jpg?disposition=attachment
41,2020,4.0,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdElLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--36886a0d7c602f037f5e8e7182b3c7467ca6ec2b/seaice_2020_720x360.jpg?disposition=attachment
42,2021,4.92,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdE1LIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--73c1a2a15d5599309f071a932e25b97bd6577f05/seaice_2021_720x360.jpg?disposition=attachment
