year, month, imgURL
2004, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c249a5c2b6cfc3e1c3f605e92a790ac44d6824f7/co2_2004_3_0019_720x360.jpg?disposition=attachment
2004, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ab01245f1118c11393f1e900ad48845ca84fd854/co2_2004_4_0020_720x360.jpg?disposition=attachment
2004, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bb6fcc54a4f665abc39b247fb050123e961f7d56/co2_2004_5_0021_720x360.jpg?disposition=attachment
2004, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9529070412982dd1243700d61505d1b7516ac7d/co2_2004_6_0022_720x360.jpg?disposition=attachment
2004, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4e2a29f0b764c4409f9e744463e292aae9b97213/co2_2004_7_0023_720x360.jpg?disposition=attachment
2004, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ff52cea6a18219813ff4e4908ca0ed21e749dfc4/co2_2004_8_0024_720x360.jpg?disposition=attachment
2004, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d7525986f79b7f56a8b64f977901cd26ab167195/co2_2004_9_0025_720x360.jpg?disposition=attachment
2004, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a42b693bf57236e2db1653cadffcb5cf88904e10/co2_2004_10_0026_720x360.jpg?disposition=attachment
2004, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeU5mQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f8cafbcec4b7bb773f86b8c5b3ac9ce31ada2e62/co2_2004_11_0027_720x360.jpg?disposition=attachment
2004, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7de99b8f65d62436db766a80f9855871c06ecb63/co2_2004_12_0028_720x360.jpg?disposition=attachment
2005, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c4618f0c65469a8d63da91778dd6f72c1a10b0be/co2_2005_1_0029_720x360.jpg?disposition=attachment
2005, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--92e1e0d85eec352cff8820af0e4dd81cf2c1f3ca/co2_2005_2_0030_720x360.jpg?disposition=attachment
2005, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeWRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e932496ff9bf43e085e3bb1521eebc9f5a6810a0/co2_2005_3_0031_720x360.jpg?disposition=attachment
2005, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeWhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--18279b306c4da621c156b7c89208c4ebaf2500f8/co2_2005_4_0032_720x360.jpg?disposition=attachment
2005, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeWxmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--95cf82f3261ce6115df5d5138ccd3557e5d6cfb4/co2_2005_5_0033_720x360.jpg?disposition=attachment
2005, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXBmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--889f9b78cfbd074e5d4dd636b438d92ebc3b6d22/co2_2005_6_0034_720x360.jpg?disposition=attachment
2005, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a3175bfba58d7af6e30d24bb09cd8bf85b8367ea/co2_2005_7_0035_720x360.jpg?disposition=attachment
2005, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeXhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2e29dcaa8f5103cb28b95ec51b6c516bc82e7611/co2_2005_8_0036_720x360.jpg?disposition=attachment
2005, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeTFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f7407f99db8212a4916870c3eba32f8785c3ab31/co2_2005_9_0037_720x360.jpg?disposition=attachment
2005, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeTVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--342fb30310f6b7fc0a6ee4bc99b4f02ae5af47f6/co2_2005_10_0038_720x360.jpg?disposition=attachment
2005, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeTlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5820e123cbe8f00f4eb7d35aaf87a34b2e92dc8a/co2_2005_11_0039_720x360.jpg?disposition=attachment
2005, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBekJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--86fe0dc27cec0887b4c7534f101d0f6c91afee9b/co2_2005_12_0040_720x360.jpg?disposition=attachment
2006, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBekZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1ae77194e8e1d1600659bfabea34b9698b7637ff/co2_2006_1_0041_720x360.jpg?disposition=attachment
2006, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBekpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8e6dfb7225a1ebc157050d995cb25f783a8f4976/co2_2006_2_0042_720x360.jpg?disposition=attachment
2006, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBek5mQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--52c8a48c47ef7bbcdd684b3844d00cf15f25eaac/co2_2006_3_0043_720x360.jpg?disposition=attachment
2006, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8cfd0e5525873cfa99abb64d71095f226273d016/co2_2006_4_0044_720x360.jpg?disposition=attachment
2006, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--69e37f71be28fda3924f4ae0477320f847971306/co2_2006_5_0045_720x360.jpg?disposition=attachment
2006, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c282d258fcd018edde2defe9ed21873541cb75cc/co2_2006_6_0046_720x360.jpg?disposition=attachment
2006, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBemRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--29982ccb6bccaf92b21f0e6cd30cfe4efa5a8d9e/co2_2006_7_0047_720x360.jpg?disposition=attachment
2006, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBemhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--02b0dd4f448302600fe04562c39fd8c4649344a0/co2_2006_8_0048_720x360.jpg?disposition=attachment
2006, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBemxmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--66b9a23f19aad1856ff74ee04fa98bdfef8317a8/co2_2006_9_0049_720x360.jpg?disposition=attachment
2006, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBenBmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e4f1ff6f61d6f2a432671888a739e667d856f64d/co2_2006_10_0050_720x360.jpg?disposition=attachment
2006, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBenRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--dcc474aec950c2091bc6391089006a891679d05d/co2_2006_11_0051_720x360.jpg?disposition=attachment
2006, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBenhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f63178e7e427be894f88d4abce8db585ab262369/co2_2006_12_0052_720x360.jpg?disposition=attachment
2007, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBejFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--dfaf9c540843e6e1de8dab0638f4c530d32e226c/co2_2007_1_0053_720x360.jpg?disposition=attachment
