Year,CO2,NO,CH4,Temperature,ice_mass
2020.0,31798366363.09521,3124814513.1779785,8536440289.376801,0.8187088960251645,-31021.364323211164
2021.0,32166055173.87353,3152652222.3405075,8598049685.776459,0.823581546702611,-33928.81977352133
2022.0,32535712020.353027,3180489931.503029,8659659082.176102,0.8362607759116618,-33334.416663206764
2023.0,32907336902.533203,3208327640.66555,8721268478.575745,0.8577655193337701,-37488.15499226848
2024.0,33280929820.41504,3236165349.828079,8782877874.975388,0.8601143191995418,-37640.034760705865
2025.0,33656490773.998047,3264003058.9906006,8844487271.37503,0.8763253242882245,-39040.05596851869
2026.0,34034019763.28174,3291840768.153122,8906096667.774673,0.8894162899279059,-42438.218615707796
2027.0,34413516788.26758,3319678477.315651,8967706064.174332,0.8934045779959973,-44584.52270227228
2028.0,34794981848.95361,3347516186.4781723,9029315460.573977,0.9023071569182955,-43978.968228212994
2029.0,35178414945.34131,3375353895.6407013,9090924856.973618,0.9111406016698359,-46771.55519352932
2030.0,35563816077.430176,3403191604.8032227,9152534253.37326,0.9309210937744654,-47512.28359822111
